,Frequency
dangerous,29
being ,25
regarding ,16
working ,13
programming ,12
something ,11
long ,9
increasing ,9
implementing ,9
going ,8
congratulate,8
during ,8
planning ,8
challenges,7
including ,7
young ,7
sitting ,7
concerning ,7
improving ,7
thinking ,7
training ,6
making ,6
establishing ,6
taking ,6
coming ,5
having ,5
meeting ,5
longer,5
funding ,5
achieving ,5
bring ,5
everything ,5
amongst,4
zoning ,4
Regarding ,4
speaking ,4
ongoing ,4
adopting ,4
harmonising ,4
promoting ,4
giving ,4
anything ,4
starting ,4
existing ,4
drafting ,4
using ,4
relating ,4
saying ,4
bearing ,4
considering ,4
discussing ,3
change,3
continuing ,3
involving ,3
carrying ,3
among ,3
stringent,3
following ,3
debating ,3
drawing ,3
thing ,3
boosting ,3
resulting ,3
setting ,3
growing ,3
challenge,3
managing ,3
nothing ,3
creating ,3
assessing ,3
interesting ,3
living ,3
raising ,3
reading ,3
long-term,3
asking ,3
voting ,3
doing ,3
along ,3
According ,3
introducing ,3
talking ,2
building ,2
putting ,2
mentioning ,2
"thinking,",2
beginning ,2
supporting ,2
shortcomings,2
approving ,2
enabling ,2
 living.,2
urging ,2
"training,",2
wrong ,2
facing ,2
providing ,2
ongoing,2
proposing ,2
spending ,2
ensuring ,2
"working,",2
calling ,2
shifting ,2
reducing ,2
 discussing.,2
changed,2
changes,2
maintaining ,2
linking ,2
financing ,2
strengthen,2
developing ,2
blessing ,2
expressing ,2
ruling ,2
holding ,2
enacting ,2
dealing ,2
Considering ,2
proceeding ,2
protecting ,2
engaged,2
corresponding ,2
things,1
Looking ,1
"closing,",1
changing,1
changing ,1
becoming ,1
defending ,1
strongly,1
heading ,1
willing ,1
"growing,",1
listening ,1
strengthened,1
 saying.,1
intending ,1
simplifying ,1
Bourlanges,1
encouraging ,1
"financing,",1
experiencing ,1
 being.,1
daring ,1
forthcoming ,1
cofinancing ,1
supervising ,1
proceedings.,1
extending ,1
coinciding ,1
monitoring ,1
utilising ,1
"challenge,",1
lagging ,1
merging ,1
"decision-making,",1
lengthy,1
hindering ,1
strengthened.,1
combating ,1
competition-inhibiting ,1
"Kingdom,",1
grandiose-sounding ,1
auditing ,1
exchange,1
tending ,1
grant-giving ,1
terminating ,1
throwing ,1
"living,",1
tackling ,1
 programming.,1
Concentrating ,1
handling ,1
congratulates,1
"concluding,",1
"discussing,",1
 lacking.,1
paying ,1
"Langen,",1
"understanding,",1
stimulating ,1
Employing ,1
"arrangements,",1
retraining ,1
manufacturing ,1
single,1
strong ,1
strongest,1
 wrong.,1
re-integrating ,1
producing ,1
worrying ,1
integrating ,1
accompanying ,1
overarching ,1
 passing.,1
Supporting ,1
"building,",1
endeavouring ,1
pointing ,1
self-supporting ,1
proving ,1
pursuing ,1
 training.,1
preparing ,1
"including,",1
"using,",1
referring ,1
publishing ,1
Concerning ,1
understanding ,1
strengthening,1
strengthening ,1
dedicating ,1
spring',1
"Angelilli,",1
according ,1
"meaningful,",1
Following ,1
delegating ,1
range,1
tying ,1
assisting ,1
Drawing ,1
allowing ,1
satisfying ,1
prevailing ,1
uniting ,1
entering ,1
no-smoking ,1
"reading,",1
guaranteeing ,1
amending ,1
Berenguer,1
prolongs,1
postponing ,1
"doing,",1
exciting ,1
ratings,1
rating ,1
changeover,1
adapting ,1
occurring ,1
probing ,1
post-leaving ,1
cutting-down,1
pricing ,1
sorting ,1
changes.,1
emphasising ,1
exploiting ,1
governing ,1
obtaining ,1
"running,",1
commenting ,1
packaging ,1
arrangement,1
far-reaching ,1
presenting ,1
refusing ,1
 long.,1
passing ,1
advocating ,1
distinguished,1
"sitting,",1
criticising ,1
requesting ,1
 Poettering.,1
Poettering',1
preaching ,1
knowing ,1
feeling ,1
Poettering ,1
advertising ,1
"writing,",1
time-consuming ,1
wording ,1
 suggesting.,1
"voting,",1
arrangements,1
hearing ,1
Relating ,1
causing ,1
sealing ,1
shutting ,1
Paddington,1
enforcing ,1
acceding ,1
 happening.,1
writing ,1
differentiating ,1
justifying ,1
 appealing.,1
"disappearing,",1
getting ,1
finding ,1
preserving ,1
opening ,1
thanking ,1
willingness,1
attaining ,1
receiving ,1
complementing ,1
obstructing ,1
excluding ,1
losing ,1
telling ,1
respecting ,1
attracting ,1
contributing ,1
lasting ,1
Bearing ,1
reversing ,1
 evolving.,1
following:,1
revitalising ,1
keeping ,1
upgrading ,1
ever-expanding ,1
helping ,1
owing ,1
"lacking,",1
buildings?,1
seeking ,1
 coming.,1
buildings,1
widening ,1
pouring ,1
 binding.,1
findings,1
dropping ,1
decentralising ,1
findings.,1
explaining ,1
brings,1
trying ,1
joining ,1
 beginning.,1
pleasing ,1
Kingdom,1
looking ,1
"looking,",1
restructuring ,1
damaging ,1
granting ,1
locating ,1
evening ,1
meaning ,1
killings,1
representing ,1
needing ,1
deepening ,1
